id,match,name,score,type,type_id,input_value
Q101062678,True,Crypt cell,100.0,cell type,Q189118,Crypt cells
Q101062683,True,Airway epithelial cell,100.0,cell type,Q189118,Airway epithelial cells
Q4532277,True,Epsilon cell,96.0,cell type,Q189118,Epsilon cells
Q7069936,True,Nuocyte,93.0,cell type,Q189118,Nuocytes
Q224930,True,natural killer T cell,100.0,cell type,Q189118,Natural killer T cells
Q828410,True,osteoclast,100.0,cell type,Q189118,Osteoclasts
Q917177,True,osteoblast,100.0,cell type,Q189118,Osteoblasts
Q913236,True,osteocyte,100.0,cell type,Q189118,Osteocytes
Q1195394,True,memory B cell,96.0,cell type,Q189118,B cells memory
Q66568528,True,plasma cell,100.0,cell type,Q189118,Plasma cells
Q250694,True,plasma cell,96.0,cell type,Q189118,Plasma cells
Q101062687,True,Noradrenergic neuron,100.0,cell type,Q189118,Noradrenergic neurons
Q71262051,True,adrenergic neurons,100.0,cell type,Q189118,Adrenergic neurons
Q101062691,True,Glycinergic neuron,100.0,cell type,Q189118,Glycinergic neurons
Q568290,True,enterochromaffin cell,100.0,cell type,Q189118,Enterochromaffin cells
Q3077796,True,Gamma delta T cell,100.0,cell type,Q189118,Gamma delta T cells
Q7840744,True,Trichocyte,95.0,cell type,Q189118,Trichocytes
Q101062695,True,Sebocyte,100.0,cell type,Q189118,Sebocytes
Q3272785,True,Parathyroid chief cell,98.0,cell type,Q189118,Parathyroid chief cells
Q7116107,True,oxyphil cells,100.0,cell type,Q189118,Oxyphil cells
Q919689,True,medullary chromaffin cell,97.0,cell type,Q189118,Chromaffin cells
Q101062701,True,Trophoblast stem cell,100.0,cell type,Q189118,Trophoblast stem cells
Q101062703,True,Trophoblast progenitor cell,100.0,cell type,Q189118,Trophoblast progenitor cells
Q70204009,True,luteal cells,100.0,cell type,Q189118,Luteal cells
Q5476344,True,Foveolar cell,48.0,[],,Foveolar cells
Q7840748,True,Trichocyte,47.5,[],,Trichocytes
Q3326185,True,Oxyphil cell,48.0,[],,Oxyphil cells
Q66592566,True,Oxyphil cell,48.0,[],,Oxyphil cells
