item,itemLabel,statements,ensg_wdt,entrez,ensg_panglao,species
Q18257780,Stx7,28,ENSMUSG00000019998,53331,ENSMUSG00000019998,Mus musculus
Q18257781,Mtmr1,37,ENSMUSG00000015214,53332,ENSMUSG00000015214,Mus musculus
Q18257782,Tomm40,31,ENSMUSG00000002984,53333,ENSMUSG00000002984,Mus musculus
Q18257783,Gosr1,25,ENSMUSG00000010392,53334,ENSMUSG00000010392,Mus musculus
Q18257784,Eif3g,26,ENSMUSG00000070319,53356,ENSMUSG00000070319,Mus musculus
Q18257785,Pla2g6,56,ENSMUSG00000042632,53357,ENSMUSG00000042632,Mus musculus
Q18257786,Chst3,26,ENSMUSG00000057337,53374,ENSMUSG00000057337,Mus musculus
Q18257787,Mtx2,17,,53375,ENSMUSG00000027099,Mus musculus
Q18257788,Usp2,41,ENSMUSG00000032010,53376,ENSMUSG00000032010,Mus musculus
Q18257789,Sdcbp,29,ENSMUSG00000028249,53378,ENSMUSG00000028249,Mus musculus
Q24327104,Hnrnpa2b1,42,ENSMUSG00000004980,53379,ENSMUSG00000004980,Mus musculus
Q18257791,Psmd10,23,ENSMUSG00000031429,53380,ENSMUSG00000031429,Mus musculus
Q18257792,Prdx4,25,ENSMUSG00000025289,53381,ENSMUSG00000025289,Mus musculus
Q18257793,Txnl1,15,,53382,ENSMUSG00000024583,Mus musculus
Q18257794,Atoh7,22,ENSMUSG00000036816,53404,ENSMUSG00000036816,Mus musculus
Q18257795,Ppp1r3c,19,ENSMUSG00000067279,53412,ENSMUSG00000067279,Mus musculus
Q18257796,Exoc7,39,ENSMUSG00000020792,53413,ENSMUSG00000020792,Mus musculus
Q18257797,Bysl,22,ENSMUSG00000023988,53414,ENSMUSG00000023988,Mus musculus
Q18257798,Htatip2,29,ENSMUSG00000039745,53415,ENSMUSG00000039745,Mus musculus
Q18257799,Stk39,36,ENSMUSG00000027030,53416,ENSMUSG00000027030,Mus musculus
Q18257800,Hif3a,25,ENSMUSG00000004328,53417,ENSMUSG00000004328,Mus musculus
Q18257801,B4galt2,35,ENSMUSG00000028541,53418,ENSMUSG00000028541,Mus musculus
Q18257802,Corin,29,ENSMUSG00000005220,53419,ENSMUSG00000005220,Mus musculus
Q18257803,Syt5,14,,53420,ENSMUSG00000004961,Mus musculus
Q18257804,Sec61a1,33,ENSMUSG00000030082,53421,ENSMUSG00000030082,Mus musculus
Q18257805,Ybx2,29,ENSMUSG00000018554,53422,ENSMUSG00000018554,Mus musculus
Q18257806,Tsnax,21,ENSMUSG00000056820,53424,ENSMUSG00000056820,Mus musculus
Q18257807,Dctn3,21,ENSMUSG00000028447,53598,ENSMUSG00000028447,Mus musculus
Q14911799,Cd164,21,ENSMUSG00000019818,53599,ENSMUSG00000019818,Mus musculus
Q18257809,Timm23,25,ENSMUSG00000013701,53600,ENSMUSG00000013701,Mus musculus
Q18257810,Pcdh12,23,ENSMUSG00000024440,53601,ENSMUSG00000024440,Mus musculus
Q18257811,Hpcal1,25,ENSMUSG00000071379,53602,ENSMUSG00000071379,Mus musculus
Q18257812,Tslp,21,ENSMUSG00000024379,53603,ENSMUSG00000024379,Mus musculus
Q18257813,Zpbp,25,ENSMUSG00000020193,53604,ENSMUSG00000020193,Mus musculus
Q18257814,Nap1l1,33,ENSMUSG00000058799,53605,ENSMUSG00000058799,Mus musculus
Q18257815,Snrpa,25,ENSMUSG00000061479,53607,ENSMUSG00000061479,Mus musculus
Q18257816,Map3k6,24,ENSMUSG00000028862,53608,ENSMUSG00000028862,Mus musculus
Q18257817,Clasrp,42,ENSMUSG00000061028,53609,ENSMUSG00000061028,Mus musculus
Q18257818,Nono,28,ENSMUSG00000031311,53610,ENSMUSG00000031311,Mus musculus
Q18257819,Vti1a,45,ENSMUSG00000024983,53611,ENSMUSG00000024983,Mus musculus
Q18257820,Vti1b,25,ENSMUSG00000021124,53612,ENSMUSG00000021124,Mus musculus
Q18257821,Reck,22,ENSMUSG00000028476,53614,ENSMUSG00000028476,Mus musculus
Q18257822,Krt35,19,ENSMUSG00000048013,53617,ENSMUSG00000048013,Mus musculus
Q18257823,Fut8,35,ENSMUSG00000021065,53618,ENSMUSG00000021065,Mus musculus
Q18257824,Blcap,26,ENSMUSG00000067787,53619,ENSMUSG00000067787,Mus musculus
Q18257825,Vamp5,18,,53620,ENSMUSG00000073002,Mus musculus
Q18257826,Cnot4,37,ENSMUSG00000038784,53621,ENSMUSG00000038784,Mus musculus
Q18257827,Krt85,9,,53622,ENSMUSG00000116336,Mus musculus
Q15320184,Gria3,39,ENSMUSG00000001986,53623,ENSMUSG00000001986,Mus musculus
Q18257829,Cldn7,25,ENSMUSG00000018569,53624,ENSMUSG00000018569,Mus musculus
Q18257830,B3gnt2,15,,53625,ENSMUSG00000051650,Mus musculus
Q18257831,Insm1,20,ENSMUSG00000068154,53626,ENSMUSG00000068154,Mus musculus
Q18257832,Porcn,39,ENSMUSG00000031169,53627,ENSMUSG00000031169,Mus musculus
Q18257927,Prrc2a,28,ENSMUSG00000024393,53761,ENSMUSG00000024393,Mus musculus
Q14914086,Tlr5,32,ENSMUSG00000079164,53791,ENSMUSG00000079164,Mus musculus
Q18257972,Oaz3,26,ENSMUSG00000028141,53814,ENSMUSG00000028141,Mus musculus
Q18257975,Ddx39b,27,ENSMUSG00000019432,53817,ENSMUSG00000019432,Mus musculus
Q18257977,Prg3,22,ENSMUSG00000027072,53856,ENSMUSG00000027072,Mus musculus
Q18257978,Tuba8,14,,53857,ENSMUSG00000030137,Mus musculus
Q18257979,Rwdd2b,22,ENSMUSG00000041079,53858,ENSMUSG00000041079,Mus musculus
Q18257980,Map3k14,22,ENSMUSG00000020941,53859,ENSMUSG00000020941,Mus musculus
Q18257982,Zranb2,26,ENSMUSG00000028180,53861,ENSMUSG00000028180,Mus musculus
Q18257983,Col5a3,23,ENSMUSG00000004098,53867,ENSMUSG00000004098,Mus musculus
Q18257984,Rab25,23,ENSMUSG00000008601,53868,ENSMUSG00000008601,Mus musculus
Q18257985,Rab11a,30,ENSMUSG00000004771,53869,ENSMUSG00000004771,Mus musculus
Q18257986,Cntn6,31,ENSMUSG00000030092,53870,ENSMUSG00000030092,Mus musculus
Q18257987,Pkd2l2,33,ENSMUSG00000014503,53871,ENSMUSG00000014503,Mus musculus
Q18257988,Caprin1,39,ENSMUSG00000027184,53872,ENSMUSG00000027184,Mus musculus
Q18257994,Svs2,18,ENSMUSG00000040132,53878,ENSMUSG00000040132,Mus musculus
Q18257996,Slc5a3,20,ENSMUSG00000089774,53881,ENSMUSG00000089774,Mus musculus
Q18257997,Celsr2,28,ENSMUSG00000068740,53883,ENSMUSG00000068740,Mus musculus
Q18257998,Nphp1,30,ENSMUSG00000027378,53885,ENSMUSG00000027378,Mus musculus
Q18257999,Cdkl2,34,ENSMUSG00000029403,53886,ENSMUSG00000029403,Mus musculus
Q18258001,Sart3,32,ENSMUSG00000018974,53890,ENSMUSG00000018974,Mus musculus
Q18258003,Ppm1d,21,ENSMUSG00000020525,53892,ENSMUSG00000020525,Mus musculus
Q18258004,Nudt5,28,ENSMUSG00000025817,53893,ENSMUSG00000025817,Mus musculus
Q18258005,Clpp,15,,53895,ENSMUSG00000002660,Mus musculus
Q18258006,Slc7a10,29,ENSMUSG00000030495,53896,ENSMUSG00000030495,Mus musculus
