cell_type,cell_typeLabel
http://www.wikidata.org/entity/Q71314951,CCDC141-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314953,DACH2-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314959,EGFEM1P-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314962,Q71314962
http://www.wikidata.org/entity/Q71314964,IQGAP2-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314968,ANGPT1-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314970,Q71314970
http://www.wikidata.org/entity/Q71314973,Q71314973
http://www.wikidata.org/entity/Q71314976,LOC100421401-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314979,HTR2C-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314981,KCNH8-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314983,GGH-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314986,C18orf42-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314988,LRRC63-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314991,SLC7A11-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71314993,Q71314993
http://www.wikidata.org/entity/Q71314997,HPGD-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315000,NMU-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315001,LOC100996671-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315004,SPON1-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315006,QRFPR-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315010,SLC9A2-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315015,LOC101929028-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315017,ADGRG6-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315021,EYS-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315023,TH-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315025,CPED1-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315030,ANKRD34B-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315032,SPP1-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315035,SLC9A9-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315038,SULF1-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315040,LYPD6-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315558,PCP4|IGFBP7-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315560,TAC3|TSHZ2-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315565,TAC3|COL15A1-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q71315567,PCP4|LINC01583-expressing human cerebral cortex MTG GABAergic interneuron
http://www.wikidata.org/entity/Q101062473,Human myeloid-derived suppressor cell
http://www.wikidata.org/entity/Q101404853,human basal cell
http://www.wikidata.org/entity/Q101404857,human trigeminal neuron
http://www.wikidata.org/entity/Q101404858,human juxtaglomerular cell
http://www.wikidata.org/entity/Q101404859,human pancreatic stellate cell
http://www.wikidata.org/entity/Q101404861,human fibroblast
