cell_type;gene
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18037189
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18036916
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18036665
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18036449
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18035145
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18034592
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18031510
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18031359
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18031107
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18031045
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18030965
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18030604
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18029694
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18028742
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q18027345
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q17928752
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q17916070
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q17916065
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q14912280
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q14905238
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q14902502
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q14888529
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q14864879
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q14864225
http://www.wikidata.org/entity/Q101405078;http://www.wikidata.org/entity/Q11868650
http://www.wikidata.org/entity/Q101404881;http://www.wikidata.org/entity/Q8041712
http://www.wikidata.org/entity/Q101404881;http://www.wikidata.org/entity/Q8041711
http://www.wikidata.org/entity/Q101404881;http://www.wikidata.org/entity/Q5052493
http://www.wikidata.org/entity/Q101404881;http://www.wikidata.org/entity/Q21163349
http://www.wikidata.org/entity/Q101404881;http://www.wikidata.org/entity/Q18039060
http://www.wikidata.org/entity/Q101404881;http://www.wikidata.org/entity/Q18033933
http://www.wikidata.org/entity/Q101404881;http://www.wikidata.org/entity/Q18033074
http://www.wikidata.org/entity/Q101404881;http://www.wikidata.org/entity/Q18028310
http://www.wikidata.org/entity/Q101404881;http://www.wikidata.org/entity/Q18027673
http://www.wikidata.org/entity/Q101404881;http://www.wikidata.org/entity/Q14866198
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q7247879
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q5864325
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q4316436
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q21503572
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18054945
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18053882
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18048783
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18047432
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18045916
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18043087
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18040676
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18036750
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18036077
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18034371
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18032980
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18032761
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18031813
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18031675
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18031396
http://www.wikidata.org/entity/Q101405206;http://www.wikidata.org/entity/Q18030534
