Unnamed: 0,Len,Aen,Den,Dpt,P361,P703,P31
83,human satellite cell,human satellite cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101001061,Q15978631,Q18911
84,human luteal cell,human luteal cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q70204009,Q15978631,Q18911
85,human ductal cell,human ductal cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q5311600,Q15978631,Q18911
86,human pulmonary vascular smooth muscle cell,human pulmonary vascular smooth muscle cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062553,Q15978631,Q18911
87,human erythroid-like and erythroid precursor cell,human erythroid-like and erythroid precursor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062502,Q15978631,Q18911
88,human adrenergic neuron,human adrenergic neurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q71262051,Q15978631,Q18911
89,human neuroblast,human neuroblasts,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q2927095,Q15978631,Q18911
90,human anterior pituitary gland cell,human anterior pituitary gland cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101003254,Q15978631,Q18911
91,human plasmacytoid dendritic cell,human plasmacytoid dendritic cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062485,Q15978631,Q18911
92,human nuocyte,human nuocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q7069936,Q15978631,Q18911
93,human thymocyte,human thymocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q7799635,Q15978631,Q18911
94,human paneth cell,human paneth cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q2004084,Q15978631,Q18911
95,human interneuron,human interneurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1500732,Q15978631,Q18911
96,human monocyte,human monocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q107244,Q15978631,Q18911
97,human podocyte,human podocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q138912,Q15978631,Q18911
98,human neural stem/precursor cell,human neural stem/precursor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q2944097,Q15978631,Q18911
99,human cholangiocyte,human cholangiocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q5104283,Q15978631,Q18911
100,human crypt cell,human crypt cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062678,Q15978631,Q18911
101,human osteoblast,human osteoblasts,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q917177,Q15978631,Q18911
102,human pericyte,human pericytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q500446,Q15978631,Q18911
103,human erythroblast,human erythroblasts,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q66590166,Q15978631,Q18911
104,human olfactory epithelial cell,human olfactory epithelial cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q66563539,Q15978631,Q18911
105,human eosinophil,human eosinophils,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q107238,Q15978631,Q18911
106,human keratinocyte,human keratinocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1473931,Q15978631,Q18911
107,human taste receptor cell,human taste receptor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q66563575,Q15978631,Q18911
108,human cholinergic neuron,human cholinergic neurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q12167532,Q15978631,Q18911
109,human hematopoietic stem cell,human hematopoietic stem cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q514525,Q15978631,Q18911
110,human spermatozoa,human spermatozoa,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q74560,Q15978631,Q18911
111,human goblet cell,human goblet cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q813622,Q15978631,Q18911
112,human pluripotent stem cell,human pluripotent stem cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q15952110,Q15978631,Q18911
113,human foveolar cell,human foveolar cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q66592466,Q15978631,Q18911
114,human gamma (pp) cell,human gamma (pp) cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1968774,Q15978631,Q18911
115,human peritubular myoid cell,human peritubular myoid cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q48997538,Q15978631,Q18911
116,human b cell memory,human b cells memory,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1195394,Q15978631,Q18911
117,human pulmonary alveolar type i cell,human pulmonary alveolar type i cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q3296912,Q15978631,Q18911
118,human endothelial cell (blood brain barrier),human endothelial cells (blood brain barrier),cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062538,Q15978631,Q18911
119,human pancreatic progenitor cell,human pancreatic progenitor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q25325366,Q15978631,Q18911
121,human alveolar macrophages,human alveolar macrophages,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q448687,Q15978631,Q18911
122,human airway epithelial cell,human airway epithelial cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062683,Q15978631,Q18911
123,human ciliated cell,human ciliated cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062671,Q15978631,Q18911
124,human immature neuron,human immature neurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101003994,Q15978631,Q18911
125,human kupffer cell,human kupffer cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q513486,Q15978631,Q18911
126,human sebocyte,human sebocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062695,Q15978631,Q18911
127,human osteoclast precursor cell,human osteoclast precursor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062534,Q15978631,Q18911
128,human t memory cell,human t memory cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q2304808,Q15978631,Q18911
129,human enterocyte,human enterocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1340349,Q15978631,Q18911
130,human tanycyte,human tanycytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1419042,Q15978631,Q18911
131,human t cell,human t cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q193529,Q15978631,Q18911
132,human cardiac stem and precursor cell,human cardiac stem and precursor cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q5376332,Q15978631,Q18911
133,human cardiomyocyte,human cardiomyocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1047227,Q15978631,Q18911
134,human ependymal cell,human ependymal cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q28646122,Q15978631,Q18911
135,human adipocyte,human adipocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q357519,Q15978631,Q18911
136,human langerhans cell,human langerhans cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1623344,Q15978631,Q18911
137,human macrophages,human macrophages,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q184204,Q15978631,Q18911
138,human meningeal cell,human meningeal cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062499,Q15978631,Q18911
139,human t regulatory cell,human t regulatory cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1550619,Q15978631,Q18911
140,human b cell naive,human b cells naive,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q3269473,Q15978631,Q18911
141,human b cell,human b cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q188930,Q15978631,Q18911
142,human beta cell,human beta cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q1767180,Q15978631,Q18911
143,human distal tubule cell,human distal tubule cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q66568836,Q15978631,Q18911
144,human basophil,human basophils,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q107988,Q15978631,Q18911
145,human airway goblet cell,human airway goblet cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062600,Q15978631,Q18911
146,human cajal-retzius cell,human cajal-retzius cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q2299284,Q15978631,Q18911
147,human gamma delta t cell,human gamma delta t cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q3077796,Q15978631,Q18911
148,human chondrocyte,human chondrocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q775480,Q15978631,Q18911
149,human trichocyte,human trichocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q7840744,Q15978631,Q18911
150,human glycinergic neuron,human glycinergic neurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062691,Q15978631,Q18911
151,human müller cell,human müller cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q735343,Q15978631,Q18911
152,human dopaminergic neuron,human dopaminergic neurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q5297290,Q15978631,Q18911
153,human mesothelial cell,human mesothelial cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q66562849,Q15978631,Q18911
154,human hepatocyte,human hepatocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q827450,Q15978631,Q18911
155,human neutrophil,human neutrophils,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q188417,Q15978631,Q18911
156,human neuron,human neurons,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q43054,Q15978631,Q18911
157,human astrocyte,human astrocytes,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q502961,Q15978631,Q18911
158,human trophoblast stem cell,human trophoblast stem cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062701,Q15978631,Q18911
159,human parathyroid chief cell,human parathyroid chief cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q3272785,Q15978631,Q18911
160,human acinar cell,human acinar cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q66590269,Q15978631,Q18911
161,human loop of henle cell,human loop of henle cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q101062522,Q15978631,Q18911
162,human clara cell,human clara cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q645712,Q15978631,Q18911
163,human follicular cell,human follicular cells,cell type of Homo sapiens,tipo de célula de Homo sapiens,Q5464650,Q15978631,Q18911
