item,itemLabel,cellontology
http://www.wikidata.org/entity/Q88402324,somatic neuron,
http://www.wikidata.org/entity/Q87410595,interneuron from layer I of the cortex,
http://www.wikidata.org/entity/Q87410574,vascular cells,
http://www.wikidata.org/entity/Q71315567,PCP4|LINC01583-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315565,TAC3|COL15A1-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315560,TAC3|TSHZ2-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315558,PCP4|IGFBP7-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315040,LYPD6-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315038,SULF1-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315035,SLC9A9-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315032,SPP1-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315030,ANKRD34B-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315025,CPED1-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315023,TH-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315021,EYS-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315017,ADGRG6-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315015,LOC101929028-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315010,SLC9A2-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315006,QRFPR-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315004,SPON1-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315001,LOC100996671-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71315000,NMU-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314997,HPGD-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314993,Q71314993,
http://www.wikidata.org/entity/Q71314991,SLC7A11-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314988,LRRC63-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314986,C18orf42-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314983,GGH-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314981,KCNH8-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314979,HTR2C-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314976,LOC100421401-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314973,Q71314973,
http://www.wikidata.org/entity/Q71314970,Q71314970,
http://www.wikidata.org/entity/Q71314968,ANGPT1-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314964,IQGAP2-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314962,Q71314962,
http://www.wikidata.org/entity/Q71314959,EGFEM1P-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314953,DACH2-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314951,CCDC141-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314947,DCN-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314945,CNR1-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314943,BAGE2-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314941,ARHGAP36-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314938,ANKFN1-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314934,EYA4-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314930,CPLX3-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314927,KIT-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314925,NDNF-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314923,SP8-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314919,TGFBR2-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314048,PVALB-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314045,SST-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314043,VIP-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314038,FBXL7-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314036,COL15A1-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71314033,NPY-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71313771,CXCL14-expressing human MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71313767,NXPH1-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71313766,MT1F-expressing human MTG astrocyte,
http://www.wikidata.org/entity/Q71313762,SLC1A3-expressing human MTG astrocyte,
http://www.wikidata.org/entity/Q71313347,FGFR3-expressing human MTG astrocyte,
http://www.wikidata.org/entity/Q71313344,GAD1-expressing human cerebral cortex MTG GABAergic interneuron,
http://www.wikidata.org/entity/Q71312204,CUX2|NTNG-expressing human cerebral cortex MTG Glutamatergic neuron,
