item,itemLabel,statements,ensg_wdt,entrez
Q14883437,MUTYH,118,ENSG00000132781,4595
Q14883734,WRN,41,ENSG00000165392,7486
Q14884140,HRAS,58,ENSG00000174775,3265
Q14884140,HRAS,58,ENSG00000276536,3265
Q14884608,ATP7A,37,ENSG00000165240,538
Q14884788,AMACR,40,ENSG00000242110,23600
Q14884995,QDPR,39,ENSG00000151552,5860
Q14885119,CD38,31,ENSG00000004468,952
Q14885185,IL2RG,36,ENSG00000147168,3561
Q14885202,LCK,47,ENSG00000182866,3932
Q14885224,PPOX,97,ENSG00000143224,5498
Q14885337,DYSF,63,ENSG00000135636,8291
Q14885645,CCL2,26,ENSG00000108691,6347
Q14885879,TBXT,35,ENSG00000164458,6862
Q14886047,GRB7,43,ENSG00000141738,2886
Q14886174,TAS2R16,23,ENSG00000128519,50833
Q14886374,GLA,39,ENSG00000102393,2717
Q14886430,GLI1,36,ENSG00000111087,2735
Q14886491,GLI2,52,ENSG00000074047,2736
Q14886904,GLI3,39,ENSG00000106571,2737
Q14887295,SOST,28,ENSG00000167941,50964
Q14887306,SLC2A4,34,ENSG00000181856,6517
Q14887306,SLC2A4,34,ENSG00000288174,6517
Q14887511,CD14,32,ENSG00000170458,929
Q14887700,PIK3CA,39,ENSG00000121879,5290
Q14887732,PIK3CD,51,ENSG00000171608,5293
Q14888030,VCAN,42,ENSG00000038427,1462
Q14888082,SP1,31,ENSG00000185591,6667
Q14888124,UROD,57,ENSG00000126088,7389
Q14888283,THBD,29,ENSG00000178726,7056
Q14888415,MAOA,35,ENSG00000189221,4128
Q14888529,HDC,37,ENSG00000140287,3067
Q14888579,ADORA1,40,ENSG00000163485,134
Q14888937,GUCY2C,27,ENSG00000070019,2984
Q14888946,HSPA8,57,ENSG00000109971,3312
Q14889263,FABP4,31,ENSG00000170323,2167
Q14889334,FGF1,69,ENSG00000113578,2246
Q14889529,FGF3,26,ENSG00000186895,2248
Q14889532,IL7,40,ENSG00000104432,3574
Q14889545,ALOX5AP,30,ENSG00000132965,241
Q14889782,NF2,57,ENSG00000186575,4771
Q14890024,AVPR1A,31,ENSG00000166148,552
Q14890030,AVPR1B,25,ENSG00000198049,553
Q14890035,AVPR2,31,ENSG00000126895,554
Q14890078,GAPDH,54,ENSG00000111640,2597
Q14890102,CYP1A2,25,ENSG00000140505,1544
Q14890110,HSPG2,47,ENSG00000142798,3339
Q14890118,IRF6,32,ENSG00000117595,3664
Q14890468,APOE,40,ENSG00000130203,348
Q14890615,APOB,118,ENSG00000084674,338
