item,itemLabel,statements,ensg_wdt,entrez
Q18312479,Orq3,6,,100035006
Q18312480,Bywq,7,,100035007
Q18312481,Fmgty1,7,,100035008
Q18312482,Fmgty3,7,,100035009
Q18312483,Fmgty5,7,,100035010
Q18312484,Fmgty7,7,,100035011
Q18312485,Fmgty10,7,,100035012
Q18312486,Fmgty12,7,,100035013
Q18312487,Fmgty14,7,,100035014
Q18312488,Noan1,7,,100035015
Q18312489,Ahl6,6,,100035016
Q18312490,Hdl34,7,,100035017
Q18312491,Hdl35,6,,100035018
Q18312492,Hdl36,7,,100035019
Q18312493,Hdl37,7,,100035020
Q18312494,C7mlq,7,,100035021
Q18312495,Ecla,7,,100035022
Q18312496,Eclc,7,,100035023
Q18312497,Mgdr2,7,,100035024
Q18312498,Lgdr1,7,,100035025
Q18312499,Ablp,7,,100035026
Q18312500,Axtq1,6,,100035027
Q18312501,Axtq2,6,,100035028
Q18312502,Axtq3,6,,100035029
Q18312503,Etan1,7,,100035030
Q18312504,Arigm1,6,,100035031
Q18312505,Arigm2,6,,100035032
Q18312506,Arigm4,6,,100035033
Q18312507,Arigm7,6,,100035034
Q18312508,Arigg2,6,,100035035
Q18312509,Arigg4,6,,100035036
Q18312510,Arigg6,6,,100035037
Q18312511,Arigg10,6,,100035038
Q18312512,Nstr1,6,,100035039
Q18312513,Rthyd1,7,,100035040
Q18312514,Rthyd4,7,,100035041
Q18312515,Pnhdlc3,6,,100035042
Q18312516,Pnhdlc5,6,,100035043
Q18312517,Phdlc1,6,,100035044
Q18312518,Kdnw1,6,,100035045
Q18312519,Dbts1,6,,100035046
Q18312520,Obsty2,6,,100035047
Q18312521,Obsty3,6,,100035048
Q18312522,Bwtn1,6,,100035049
Q18312523,Kdnw3,6,,100035050
Q18312524,Dbts2,6,,100035051
Q18312525,W3q12,6,,100035052
Q18312526,Lgq5,6,,100035053
Q18312527,W10q7,6,,100035054
Q18312528,Lgaq3,6,,100035055
Q18312529,Egq1,6,,100035056
Q18312530,W3q1,6,,100035057
Q18312531,W3q2,6,,100035058
Q18312532,Lgq2,6,,100035059
Q18312533,Lgaq2,6,,100035060
Q18312534,Lgq3,6,,100035061
Q18312535,Lgaq4,6,,100035062
Q18312536,Egq3,6,,100035063
Q18312537,W6q7,6,,100035064
Q18312538,W6q15,6,,100035065
Q18312539,W10q10,6,,100035066
Q18312541,Lgq6,6,,100035067
Q18312542,W10q16,6,,100035068
Q18312543,W10q11,6,,100035069
Q18312544,Tailq5,6,,100035070
Q18312545,W6q17,6,,100035071
Q18312546,W3q10,6,,100035072
Q18312547,W10q13,6,,100035073
Q18312548,Egq12,6,,100035074
Q18312549,W10q14,6,,100035075
Q18312550,W6q6,6,,100035076
Q18312551,W10q5,6,,100035077
Q18312552,W6q8,6,,100035078
Q18312553,Egq9,6,,100035079
Q18312554,W10q2,6,,100035080
Q18312555,W6q3,6,,100035081
Q18312556,Tailaq1,6,,100035082
Q18312557,Egq10,6,,100035083
Q18312558,Egaq4,6,,100035084
Q18312559,W10q17,6,,100035085
Q18312560,Tailaq4,6,,100035086
Q18312561,W3q7,6,,100035087
Q18312562,W6q11,7,,100035088
Q18312563,W10q15,6,,100035089
Q18312564,W6q12,6,,100035090
Q18312565,W3q14,6,,100035091
Q18312566,W3q15,6,,100035092
Q18312567,Hdlcl1,7,,100035093
Q18312568,Bdywt,7,,100035094
Q18312569,Hypism,7,,100035095
Q18312570,Manln1,7,,100035096
Q18312571,Manln2,7,,100035097
Q18312572,Manln3,7,,100035098
Q18312573,Manln5,7,,100035099
Q18312574,Manln6,7,,100035100
Q18312575,Manln10,7,,100035101
Q18312576,Manln12,7,,100035102
Q18312577,Manln14,7,,100035103
Q18312578,Manln17,7,,100035104
Q18312579,Manln19,7,,100035105
Q18312580,Cinda3,7,,100035106
Q18312581,Cinda5,6,,100035107
Q18312582,Eae2b,6,,100035108
Q18312583,Swrl1,7,,100035109
Q18312584,Swrl2,6,,100035110
Q18312585,Nba4,6,,100035111
Q18312586,Eae38,6,,100035112
Q18312587,Baa1,7,,100035113
Q18312588,Sle16,7,,100035114
Q18312589,Sle18,6,,100035115
Q18312590,Obwq4,7,,100035116
Q18312591,Bwtq9,6,,100035117
Q18312592,Bwtq10,7,,100035118
Q18312593,Obq21,7,,100035119
Q18312594,Obq22,7,,100035120
Q18312595,Adip10,7,,100035121
Q18312596,Adip11,6,,100035122
Q18312597,Adip14,6,,100035123
Q18312598,Adip16,7,,100035124
Q18312599,Adip18,7,,100035125
Q18312600,Gpdc2,7,,100035126
Q18312601,Aaj1,6,,100035127
Q18312602,Aaj3,6,,100035128
Q18312603,Wbcq1,6,,100035129
Q18312604,Wbcq3,6,,100035130
Q18312605,Wbcq6,6,,100035131
Q18312606,Mpvq1,6,,100035132
