,Unnamed: 0,panglao,wikidata,superclass,itemLabel,item
136,134,Ependymal cells,Q28646122,Q28646122,human ependymal cell,Q101405078
137,135,Adipocytes,Q357519,Q357519,human adipocyte,Q101405079
138,136,Langerhans cells,Q1623344,Q1623344,human langerhans cell,Q101405080
139,137,Macrophages,Q184204,Q184204,human macrophages,Q101405081
140,138,Meningeal cells,Q101062499,Q101062499,human meningeal cell,Q101405083
141,139,T regulatory cells,Q1550619,Q1550619,human t regulatory cell,Q101405084
142,140,B cells naive,Q3269473,Q3269473,human b cell naive,Q101405085
143,141,B cells,Q188930,Q188930,human b cell,Q101405086
144,142,Beta cells,Q1767180,Q1767180,human beta cell,Q101405087
145,143,Distal tubule cells,Q66568836,Q66568836,human distal tubule cell,Q101405088
146,144,Basophils,Q107988,Q107988,human basophil,Q101405089
147,145,Airway goblet cells,Q101062600,Q101062600,human airway goblet cell,Q101405090
148,146,Cajal-Retzius cells,Q2299284,Q2299284,human cajal-retzius cell,Q101405091
149,147,Gamma delta T cells,Q3077796,Q3077796,human gamma delta t cell,Q101405093
150,148,Chondrocytes,Q775480,Q775480,human chondrocyte,Q101405092
151,149,Trichocytes,Q7840744,Q7840744,human trichocyte,Q101405094
152,150,Glycinergic neurons,Q101062691,Q101062691,human glycinergic neuron,Q101405095
153,151,Müller cells,Q735343,Q735343,human müller cell,Q101405096
154,151,Müller cells,Q735343,Q735343,human müller cell,Q101405097
155,152,Dopaminergic neurons,Q5297290,Q5297290,human dopaminergic neuron,Q101405098
156,153,Mesothelial cells,Q66562849,Q66562849,human mesothelial cell,Q101405100
157,154,Hepatocytes,Q827450,Q827450,human hepatocyte,Q101405101
158,155,Neutrophils,Q188417,Q188417,human neutrophil,Q101405102
159,156,Neurons,Q43054,Q43054,human neuron,Q101405104
160,157,Astrocytes,Q502961,Q502961,human astrocyte,Q67801129
161,157,Astrocytes,Q502961,Q502961,human astrocyte,Q101405103
162,158,Trophoblast stem cells,Q101062701,Q101062701,human trophoblast stem cell,Q101405105
163,159,Parathyroid chief cells,Q3272785,Q3272785,human parathyroid chief cell,Q101405106
164,161,Loop of Henle cells,Q101062522,Q101062522,human loop of henle cell,Q101405109
165,164,Airway smooth muscle cells,Q101062548,Q101062548,human airway smooth muscle cell,Q101405111
166,165,Embryonic stem cells,Q1151519,Q1151519,human embryonic stem cell,Q101405112
167,166,T cytotoxic cells,Q376266,Q376266,human t cytotoxic cell,Q101405113
168,166,T cytotoxic cells,Q376266,Q376266,human cytotoxic t cell,Q101423166
169,167,T cells naive,Q6959842,Q6959842,human t cell naive,Q101405114
170,185,T cell naive,Q6959842,Q6959842,human t cell naive,Q101405114
171,169,Leydig cells,Q636846,Q636846,human leydig cell,Q101405116
172,170,Retinal ganglion cells,Q927337,Q927337,human retinal ganglion cell,Q101405117
173,171,Enteric glia cells,Q101062673,Q101062673,human enteric glia cell,Q101405119
174,172,Kidney progenitor cells,Q101062528,Q101062528,human kidney progenitor cell,Q101405120
175,173,Mesangial cells,Q3331086,Q3331086,human mesangial cell,Q101405121
176,174,Reticulocytes,Q1404923,Q1404923,human reticulocyte,Q101405122
177,175,Plasma cells,Q66568528,Q66568528,human plasma cell,Q101405123
178,176,Enterochromaffin cells,Q568290,Q568290,human enterochromaffin cell,Q101405125
179,177,Neuroendocrine cells,Q10599959,Q10599959,human neuroendocrine cell,Q101405206
180,178,Astrocyte progenitor cells,Q101001053,Q101001053,human astrocyte progenitor cell,Q101405126
181,179,Multinuclear myocytes,Q101003165,Q101003165,human multinuclear myocyte,Q101405208
182,180,Spermatocyte and Spermatozoa,Q101003191,Q101003191,human spermatocyte and spermatozoa,Q101405207
183,181,Granulocytes,Q223143,Q223143,human granulocyte,Q101405212
184,182,Theca cells,Q101003314,Q101003314,human theca cell,Q101405210
185,184,Cortical interneurons,Q101004030,Q101004030,human cortical interneuron,Q101405214
186,186,Peripheral blood mononuclear cells,Q736033,Q736033,human peripheral blood mononuclear cell,Q101405209
187,188,Retinal epithelial cells,Q66572893,Q66572893,human retinal epithelial cell,Q101405213
